District|block|cluster|school_code|school_name|moi|student_id|gender|dob|mother_tongue|class_section|assessment_name|programme_name|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642806|female|2008-06-02|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642804|female|2006-06-10|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|0|0|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|0|0|1|1|1|1|1|0|0|1|0|0|0
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642802|male|2008-05-13|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|0|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|0|0
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642800|female|2008-03-12|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|1|1|0|0|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|0|0|1|1|1|1|1|1|1|1|0|1|1|1
bangalore|sumangali seva ashrama|kodihalli|30646|SUDHAMANAGAR 1|kannada|1452442|male|2006-08-22|tamil|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|0|0|1|1|0|0|1|1|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630837|female|2005-08-13|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|33823|KONANKUNTE|kannada|1243239|male|2005-09-06|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1621805|female|2008-05-25|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1621807|female|2008-06-16|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|0|1|0|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1621801|female|2008-01-08|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1
bangalore|bangalore south(banashankari)|konnana kunte|30377|GOTTIGERE|kannada|1631475|female|2007-02-23|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|1|0|0|1|1|1|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0
bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|kannada|1506053|male|2006-12-04|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|konnana kunte|30377|GOTTIGERE|kannada|1631472|female|2008-04-10|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30664|KODIHALLI|kannada|1623606|female|2006-07-19|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30664|KODIHALLI|kannada|1623600|male|2006-05-19|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
bangalore|bangalore south(banashankari)|uttrahalli|31486|VAJARAHALLI(UTTRAHALLI)|kannada|1501103|female|2007-09-21|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|1|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1621797|male|2008-04-24|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|sumangali seva ashrama|kodihalli|30960|BABASAHEB COLONY 2|kannada|1621791|female|2008-02-25|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1621793|male|2008-03-20|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
